givenName,slug,category,url,source,id,licenseName,licenseURL,Created at: 29-06-2024 13:48:01:141
Chunkloader,chunk-loaders,Vanilla+,https://modrinth.com/mod/chunk-loaders,https://github.com/SuperMartijn642/ChunkLoaders,LicenseRef-All-Rights-Reserved,,
Comforts,comforts,Vanilla+,https://modrinth.com/mod/comforts,https://github.com/illusivesoulworks/comforts,LGPL-3.0-or-later,GNU Lesser General Public License v3.0 only,
Double Doors,double-doors,Vanilla+,https://modrinth.com/mod/double-doors,https://github.com/Serilum/Double-Doors,LicenseRef-All-Rights-Reserved,,
Monsters in the Closet,monsters-in-the-closet,Vanilla+,https://modrinth.com/mod/monsters-in-the-closet,https://github.com/Minenash/MonstersInTheCloset,MIT,MIT License,
Just Player Heads,just-player-heads,Vanilla+,https://modrinth.com/mod/just-player-heads,https://github.com/Serilum/Just-Player-Heads,LicenseRef-All-Rights-Reserved,,
Enviromental Creepers,environmental-creepers,Vanilla+,https://modrinth.com/mod/environmental-creepers,https://github.com/maruohon/environmentalcreepers/,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Chisel,chisel-reborn,Beautify,https://modrinth.com/mod/chisel-reborn,https://github.com/matthewperiut/Chisel-Fabric,LicenseRef-Custom,,https://github.com/matthewperiut/Chisel-Fabric/blob/1.4.x/LICENSE
Chipped,chipped,Beautify,https://modrinth.com/mod/chipped,https://github.com/terrarium-earth/Chipped,LicenseRef-All-Rights-Reserved,,
Continuity,continuity,Beautify,https://modrinth.com/mod/continuity,https://github.com/PepperCode1/Continuity,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Another Furniture,another-furniture,Beautify,https://modrinth.com/mod/another-furniture,https://github.com/starfish-studios/AnotherFurniture,LicenseRef-Custom,,https://github.com/starfish-studios/AnotherFurniture/blob/1.19/LICENSE
StoneWorks,stoneworks,Beautify,https://modrinth.com/mod/stoneworks,https://github.com/Fuzss/stoneworks,MPL-2.0,Mozilla Public License 2.0,
Handcrafted,handcrafted,Beautify,https://modrinth.com/mod/handcrafted,https://github.com/terrarium-earth/Handcrafted,LicenseRef-Terrarium-Licence,,https://github.com/terrarium-earth/Handcrafted/blob/1.19.2/LICENSE
Armor Statues,armor-statues,Beautify,https://modrinth.com/mod/armor-statues,https://github.com/Fuzss/armorstatues,MPL-2.0,Mozilla Public License 2.0,
Chunky,chunky,Other,https://modrinth.com/plugin/chunky,https://github.com/pop4959/Chunky,GPL-3.0-only,GNU General Public License v3.0 only,
MixinTrace,mixintrace,Other,https://modrinth.com/mod/mixintrace,https://github.com/comp500/mixintrace,MIT,MIT License,
Cloth Config,cloth-config,Dependencies,https://modrinth.com/mod/cloth-config,https://github.com/shedaniel/ClothConfig/,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Fabric API,fabric-api,Dependencies,https://modrinth.com/mod/fabric-api,https://github.com/FabricMC/fabric,Apache-2.0,Apache License 2.0,
Pathouli,patchouli,Dependencies,https://modrinth.com/mod/patchouli,https://github.com/VazkiiMods/Patchouli/,CC-BY-NC-SA-3.0,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,
Fabric Language Kotlin,fabric-language-kotlin,Dependencies,https://modrinth.com/mod/fabric-language-kotlin,https://github.com/FabricMC/fabric-language-kotlin/,Apache-2.0,Apache License 2.0,
Searchables,searchables,Dependencies,https://modrinth.com/mod/searchables,https://github.com/jaredlll08/searchables,MIT,MIT License,
Architectury API,architectury-api,Dependencies,https://modrinth.com/mod/architectury-api,https://github.com/architectury/architectury,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Resourceful Lib,resourceful-lib,Dependencies,https://modrinth.com/mod/resourceful-lib,https://github.com/Team-Resourceful/ResourcefulLib,MIT,MIT License,
Puzzles Lib,puzzles-lib,Dependencies,https://modrinth.com/mod/puzzles-lib,https://github.com/Fuzss/puzzleslib,MPL-2.0,Mozilla Public License 2.0,
Forge Config API Port,forge-config-api-port,Dependencies,https://modrinth.com/mod/forge-config-api-port,https://github.com/Fuzss/forgeconfigapiport,MPL-2.0,Mozilla Public License 2.0,
Athena,athena-ctm,Dependencies,https://modrinth.com/mod/athena-ctm,https://github.com/terrarium-earth/Athena,LicenseRef-Terrarium-License,,https://github.com/terrarium-earth/Athena/blob/1.19.4/LICENSE
SuperMartijn642's Config Lib,supermartijn642s-config-lib,Dependencies,https://modrinth.com/mod/supermartijn642s-config-lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib,LicenseRef-All-Rights-Reserved,,
SuperMartijn642's Core Lib,supermartijn642s-core-lib,Dependencies,https://modrinth.com/mod/supermartijn642s-core-lib,https://github.com/SuperMartijn642/SuperMartijn642sCoreLib,LicenseRef-All-Rights-Reserved,,
YetAnotherConfigLib,yacl,Dependencies,https://modrinth.com/mod/yacl,https://github.com/isXander/YetAnotherConfigLib,LGPL-3.0-or-later,GNU Lesser General Public License v3.0 only,
CoroUtil,coroutil,Dependencies,https://modrinth.com/mod/coroutil,,LicenseRef-All-Rights-Reserved,,
bad packets,badpackets,Dependencies,https://modrinth.com/mod/badpackets,https://github.com/badasintended/badpackets,Apache-2.0,Apache License 2.0,
Configured,configured,Dependencies,https://modrinth.com/mod/configured,https://github.com/JacktheDevel0per/Configured,MIT,MIT License,
Bookshelf,bookshelf-lib,Dependencies,https://modrinth.com/mod/bookshelf-lib,https://github.com/Darkhax-Minecraft/Bookshelf,LGPL-2.1-only,GNU Lesser General Public License v2.1 only,
CICADA,cicada,Dependencies,https://modrinth.com/mod/cicada,https://github.com/enjarai/cicada-lib,MIT,MIT License,
Collective,collective,Dependencies,https://modrinth.com/mod/collective,https://github.com/Serilum/Collective,LicenseRef-All-Rights-Reserved,,
Trinkets,trinkets,Dependencies,https://modrinth.com/mod/trinkets,https://github.com/emilyalexandra/trinkets,MIT,MIT License,
Distant Horizons,distanthorizons,Not generally,https://modrinth.com/mod/distanthorizons,https://gitlab.com/jeseibel/distant-horizons,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Bobby,bobby,Not generally,https://modrinth.com/mod/bobby,https://github.com/Johni0702/bobby,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Nvidium,nvidium,Not generally,https://modrinth.com/mod/nvidium,https://github.com/MCRcortex/nvidium,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Chassis,chassis,Not generally,https://modrinth.com/mod/chassis,https://github.com/EvergoodTeam/Chassis,LGPL-2.1-only,GNU Lesser General Public License v2.1 only,
Elytra Slot,elytra-slot,Considering,https://modrinth.com/mod/elytra-slot,https://github.com/illusivesoulworks/elytraslot,LGPL-3.0-or-later,GNU Lesser General Public License v3.0 only,
Natures Compass,natures-compass,Considering,https://modrinth.com/mod/natures-compass,https://github.com/MattCzyr/NaturesCompass,CC-BY-NC-SA-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,
Explorer's Compass,explorers-compass,Considering,https://modrinth.com/mod/explorers-compass,https://github.com/MattCzyr/ExplorersCompass,CC-BY-NC-SA-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,
